ISRC,Chartmetric ID,Track Name,Artists,Tags,Genres,Genre IDs,Moods,Activities
INS171401263,13221665.0,Samjhawan,"Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal, Varun Dhawan, Alia Bhatt","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","longing, emotional, melancholic","soft, sleep, lofi, wind, study, sleeping"
IN-V11-92-00168,,,,,,,,
FR2X42311894,99255101.0,California Love,"Cheema Y, Gur Sidhu","punjabi, punjabi trap, pakistani fusion","punjabi, pakistani fusion, punjabi trap","501717, 507755, 507791",hype,"dancy, partying, urban, driving, summer"
INS170800033,13220340.0,Zara Sa,"Pritam, KK","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, heartwarming, soulful, emotional, longing, dreamy","soft, sleep, lofi, study, wind, roadtrip"
INS182403543,141075762.0,"Meenu (From ""Sankranthiki Vasthunam"")","Bheems Ceciroleo, Pranavi Acharya, Anantha Sreeram","telugu, dance, electronic","electronic, dance, telugu","501124, 501146, 501819","family, emotional, affectionate, melancholic, nostalgic",summer
INS182402887,137575229.0,"Sajna Ve Sajna (From ""Vicky Vidya Ka Woh Wala Video"")","Sunidhi Chauhan, Divya Kumar, Sandesh Shandilya, White Noise Collectives, Irshad Kamil","new romantic, indian pop, bollywood","bollywood, indian pop, new romantic","501219, 501220, 507743","longing, passionate, vulnerable",
INS181502139,16451440.0,Sanam Re,"Mithoon, Arijit Singh","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755",sensual,vacation
INA702015597,142668449.0,Sadiya Ke Pin,"Shilpi Raj, Pawan Singh","bhojpuri, pop","pop, bhojpuri","501120, 501310",ROMANTIC,
INA092318529,100734041.0,,"Sid Sriram, Shekar Chandra",,,,,
INH100379760,57154288.0,Hanuman Chalisa,Hari Om Sharan,"devotional & spiritual, indian","devotional & spiritual, indian","501129, 501540",,
USUM72409273,134780977.0,Die With A Smile,"Lady Gaga, Bruno Mars","pop, r&b/soul","pop, r&b/soul","501120, 501125","emotional, bittersweet, intimate, melancholic, poignant, sentimental, soothing","summer, sleep, soft, morning, coffee"
INH102414248,140077523.0,,"Thaman S, Karthik, Shreya Ghoshal, Ramajogayya Sastry",,,,,
INS171602370,13222180.0,Channa Mereya,"Pritam, Arijit Singh, Ranbir Kapoor, Anushka Sharma, Aishwarya Rai Bachchan, Fawad Khan","pakistani fusion, bollywood, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, soulful, yearning, emotional, intimate, nostalgic",daydreaming
FR10S2570788,142740586.0,"Mungaru Maleyalli (From ""Andondittu Kaala"")","Sid Sriram, Dhananjay Ranjan, Raghavendra V.",kannadan,kannadan,501575,"feel-good, meditative",
TCAHK2379709,112005900.0,Lalkara (feat. Sultaan),"Diljit Dosanjh, Sultaan, Intense","punjabi, punjabi trap, pakistani fusion","punjabi, pakistani fusion, punjabi trap","501717, 507755, 507791","energetic, intense, adventurous, aggressive, celebratory",roadtrip
INM431101193,20230174.0,,Yo Yo Honey Singh,,,,,
ING642503225,145167720.0,Danda Deniya,Masoom Sharma,haryanvi,haryanvi,501514,"catchy, energetic, vibrant",rural
INY091600054,22711291.0,Bulleya,"Vishal-Shekhar, Papon, Irshad Kamil","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic, sufi rock","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion, sufi rock","501219, 503287, 507684, 507743, 507755, 507824","emotional, moving, contemplative, dreamy, intriguing, spiritual","soft, sleep, lofi, study"
QM6P42332212,102452886.0,,Shubh,,,,,
INA092519915,146145758.0,"Tu Mera Lover (From ""Mass Jathara"")","Bheems Ceciroleo, Chakri, Bhaskarabhatla",telugu,telugu,501819,,
INS172000162,28269976.0,Shayad,"Pritam, Arijit Singh","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, longing, moving, heartwarming, sentimental, soulful","soft, sleep, lofi, wind, study"
INS182501403,145667592.0,Dancer Piya,"Neelkamal Singh, Adr Anand, Ashutosh Tiwari",bhojpuri,bhojpuri,501310,"ROMANTIC, DARK",
INUM72500219,144539498.0,Radha Gori Gori,"Indresh Upadhyay, B Praak",bhajan,bhajan,501308,smooth,"exploring, lofi, soft"
INW262317690,106200007.0,Heeriye (feat. Arijit Singh),"Jasleen Royal, Arijit Singh, Dulquer Salmaan","pakistani fusion, bollywood, indian fusion, south asian classical, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","heartwarming, dreamy","soft, lofi, sleep, driving"
INS182501635,146538614.0,Ghaghari,"Pawan Singh, Shilpi Raj",bhojpuri,bhojpuri,501310,"ROMANTIC, DARK",
INUM72500284,145044974.0,Kamar Dabaadi,"Pawan Singh, Shilpi Raj",bhojpuri,bhojpuri,501310,ROMANTIC,
GBAHT1901299,28853515.0,,Dua Lipa,,,,,
FR2X42553853,143705266.0,Police,"Cheema Y, Gur Sidhu, Jasmeen Akhtar",punjabi,punjabi,501717,"rebellious, aggressive, energetic, hype",urban
INS179900057,13222380.0,,"Jatin-Lalit, Kumar Sanu",,,,,
TCAEZ2071161,30467424.0,,Diljit Dosanjh,,,,,
INS172500096,142329127.0,,"Anirudh Ravichander, Yogi Sekar, Amogh Balaji",,,,,
ING642423087,139004747.0,"Mayavi (From ""Bhoomi 2024"")","Sonu Nigam, Sanjith Hegde, Nagarjun Sharma",kannadan,kannadan,501575,"hypnotic, dreamy, meditative, comforting, soothing, soulful","driving, sleep, soft"
INS182501196,144914141.0,"Og Sambavam (From ""Good Bad Ugly"")","G. V. Prakash, Adhik Ravi Chandran, Vishnu Edavan",tamil,tamil,501811,"energetic, hype, aggressive, anthemic, bold, exciting, dynamic","workout, driving, roadtrip, running"
INT109900014,13224067.0,Chunnari Chunnari,"Abhijeet, Anuradha Sriram","indian pop, indian fusion, bollywood, south asian classical","bollywood, indian pop, south asian classical, indian fusion","501219, 501220, 503287, 507684","affectionate, catchy, celebratory, heartwarming, lively","workout, sleep, coffee"
ING642503920,146130694.0,,"Khesari Lal Yadav, Shilpi Raj",,,,,
INA092519891,144916907.0,,Anirudh Ravichander,,,,,
INT102403013,121027131.0,,"Darshan Raval, Jonita Gandhi, Rochak Kohli, Gurpreet Saini",,,,,
INH102412148,137498886.0,,"G. V. Prakash, Ramya Behara, Anurag Kulkarni, Ramajogayya Sastry",,,,,
INV582305720,101330221.0,Hanuman Chalisa Lo-Fi,Rasraj Ji Maharaj,"indian ambient, indian devotional & spiritual","indian devotional & spiritual, indian ambient","503778, 503782","PEACEFUL, ROMANTIC, DARK",
INU252102408,42000535.0,295,Sidhu Moose Wala,"punjabi, punjabi trap, indian hip-hop/rap, pakistani fusion","indian hip-hop/rap, punjabi, pakistani fusion, punjabi trap","501221, 501717, 507755, 507791","emotional, contemplative, introspective, melancholic, moving, hopeful, poignant","workout, urban, gaming, lofi, driving"
INS182401562,120787250.0,"Fear Song (From ""Devara Part 1"") - TELUGU","Anirudh Ravichander, Ramajogayya Sastry","telugu, tamil","tamil, telugu","501811, 501819","anthemic, energetic, intense, catchy, thrilling","workout, driving, gaming, beach, bonding, focus, running"
IND292217347,135681083.0,"Golden Sparrow (From ""Nilavuku En Mel Ennadi Kobam"")","G. V. Prakash, Arivu, Dhanush, Sublahshini",tamil,tamil,501811,"heartwarming, longing, soulful, yearning, emotional",bonding
INS189010004,18453532.0,,"Anuradha Paudwal, Kumar Sanu, Super Cassettes Industries Private Limited, Sameer Anjaan",,,,,
INS172102667,55387159.0,,"Tanishk Bagchi, Jubin Nautiyal, Asees Kaur",,,,,
GBLFP2246919,137569508.0,52 Bars,"Karan Aujla, Ikky",Others,,,,"bonding, urban, self-love"
INH100605328,13214808.0,"Tu Hi Meri Shab Hai, Pt. 1",KK,"bollywood, south asian classical, pakistani fusion, indian fusion, new romantic, sufi rock","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion, sufi rock","501219, 503287, 507684, 507743, 507755, 507824","chill, nostalgic, happy",soft
INS182401038,126009985.0,Balamuwa Ke Ballam,"Samar Singh, Neha Raj",bhojpuri,bhojpuri,501310,"chill, family, free, fun",
INT102400827,117015463.0,"Naina (From ""Crew"")","Diljit Dosanjh, Badshah, Raj Ranjodh","pakistani fusion, punjabi, punjabi trap, indian fusion, new romantic, south asian classical, bollywood","bollywood, punjabi, south asian classical, indian fusion, new romantic, pakistani fusion, punjabi trap","501219, 501717, 503287, 507684, 507743, 507755, 507791","celebratory, fun, energetic, cheerful, funny",partying
INA092318869,112328487.0,College Papa,"Bheems Ceciroleo, Varam, Keerthana Sharma, Kasarla Shyam",telugu,telugu,501819,"ROMANTIC, JOYFUL, PEACEFUL",
AUBEC2452805,123819099.0,ANTIDOTE,"Karan Aujla, Yeah Proof","punjabi, punjabi trap","punjabi, punjabi trap","501717, 507791","chill, hype, fun, vibrant, adrenaline, groovy","workout, soft, urban"
INS189110021,17285176.0,"Tumhein Apna Banane Ki Kasam Khai Hai (From ""Sadak"")","Anuradha Paudwal, Kumar Sanu",bollywood,bollywood,501219,"chill, happy, nostalgic","morning, coffee, revolution"
INS170900405,13220509.0,Dil Ibaadat,"Pritam, KK","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic, sufi rock","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion, sufi rock","501219, 503287, 507684, 507743, 507755, 507824","moving, heartwarming, soulful, emotional, melancholic, abstract","soft, sleep, lofi, wind"
INS188810007,16585666.0,Ae Mere Humsafar,"Alka Yagnik, Udit Narayan","bollywood, south asian classical","bollywood, south asian classical","501219, 503287","chill, happy, nostalgic",
INW262500045,142261146.0,Sajna,"Darshan Raval, Aditya Gadhvi, Hansika Pareek","bollywood, new romantic","bollywood, new romantic","501219, 507743","soulful, chill, emotional",soft
INS189911147,17297541.0,Mujhe Raat Din Bas,Sonu Nigam,"bollywood, south asian classical","bollywood, south asian classical","501219, 503287","soothing, chill, happy","sleep, coffee, driving"
USSM12103949,52404165.0,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber","electropop, pop, hip-hop/rap, electro house, tropical house, house, soulful house, soft pop","pop, hip-hop/rap, house, electropop, electro house, soft pop, soulful house, tropical house","501120, 501121, 501175, 501872, 507626, 507814, 507816, 507852","longing, pensive, affectionate, conflicted, melancholic","summer, gaming, workout, driving, beach"
INA442400142,129953062.0,"Dwapara (From ""Krishnam Pranaya Sakhi"")","Jaskaran Singh, Arjun Janya, V Nagendra Prasad",kannadan,kannadan,501575,"emotional, cinematic, dramatic, moving, bittersweet, melancholic, abstract","sleep, soft"
INS182501493,145920538.0,,"OAFF, Savera, Raghav Chaitanya, Kumaar",,,,,
INS182203702,97703605.0,Malang Sajna,"Sachet Tandon, Parampara Tandon, Kumaar, Sachet-Parampara","pakistani fusion, indian fusion, bollywood, south asian classical, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, relaxed, trippy","lofi, soft, sleep, driving, workout"
FR10S2592081,142859206.0,"Re Rela - From ""Baapu""","Madhupriya, RR Dhruvan, Raghu Ram","soundtrack, indian","soundtrack, indian","501139, 501540","motivational, patriotic, uplifting, anthemic, celebratory",rural
INV582300059,100273120.0,Bajrang Baan-Lofi,Rasraj Ji Maharaj,"indian ambient, indian devotional & spiritual","indian devotional & spiritual, indian ambient","503778, 503782","DARK, PEACEFUL, SERIOUS, ROMANTIC",
INT202505324,142915167.0,,"Leon James, Deepak Blue, Ramajogayya Sastry",,,,,
INS189911113,17286154.0,Aankhon Ki Gustakhiyan,"Kumar Sanu, Kavita Krishnamurthy, Ajay Devgan, Aishwarya Rai Bachchan, Salman Khan","bollywood, south asian classical","bollywood, south asian classical","501219, 503287","chill, happy, nostalgic, sensual","sleep, soft"
UKJ8H2403608,120113292.0,Hero Handa,"Khushi Baliyan, Ashu Twinkle, Raj Mawer, Punit Choudhary",haryanvi,haryanvi,501514,"chill, fun, hopeful, powerful",guitar
INS182303353,114156834.0,"Lutt Putt Gaya (From ""Dunki"")","Pritam, Arijit Singh, IP Singh, Swanand Kirkire","pakistani fusion, bollywood, south asian classical, new romantic, indian fusion","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","chill, happy",soft
INS181904666,25060973.0,Khairiyat,"Pritam, Arijit Singh","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","emotional, inspirational, nurturing, soulful, uplifting, yearning","soft, sleep, lofi, study"
TCAFN2187787,62710752.0,Excuses,"AP Dhillon, Gurinder Gill, Intense","punjabi, pakistani fusion, punjabi trap, indian fusion, south asian classical, electropop","punjabi, electropop, south asian classical, indian fusion, pakistani fusion, punjabi trap","501717, 501872, 503287, 507684, 507755, 507791","anguished, betrayal, emotional, dramatic, intense, lonely",workout
USAT22409172,138071658.0,APT.,"ROSÉ, Bruno Mars","pop, k-pop, dance","pop, dance, k-pop","501120, 501146, 501158","carefree, catchy, affectionate, cheerful, flirty, fun, emotional, adventurous","dancy, drinking"
INZ031418268,145917455.0,,"Thaman S, Amrit Maan",,,,,
INS180705748,17239234.0,Ajab Si,KK,"bollywood, south asian classical, pakistani fusion, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, dreamy, dramatic, heartwarming, intimate","soft, sleep, lofi, study, wind, morning"
INS181600638,16783514.0,Itni Si Baat Hain,"Arijit Singh, Antara Mitra","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","chill, happy",soft
INT202404685,122744998.0,,"Sai Abhyankkar, Sai Smriti",,,,,
CAW112500003,144127118.0,,"Karan Aujla, OneRepublic, Ikky",,,,,
INS181500949,22576281.0,Pind De Gerhe,Rupinder Handa,punjabi,punjabi,501717,"ROMANTIC, BLUE, LONELY, SEXY, DARK",
INM431700318,17926576.0,,"Diljit Dosanjh, Jatinder Shah",,,,,
QMFMG2357542,115766168.0,You and Me,Shubh,"punjabi, punjabi trap, pakistani fusion","punjabi, pakistani fusion, punjabi trap","501717, 507755, 507791","chill, fun, happy",
INS180351131,17285907.0,Tumse Milna,Alka Yagnik,bollywood,bollywood,501219,"affectionate, devoted, heartwarming, intimate, sentimental",bonding
THUM72500019,142833855.0,Bad Girls Like You - English Version,"Tobii, DOLLA","r&b/soul, pop, alternative, electronic, dance, japanese, indie","pop, electronic, r&b/soul, alternative, dance, indie, japanese","501120, 501124, 501125, 501132, 501146, 501541, 501565","empowering, sassy","dancy, partying, urban"
INS171806783,20567358.0,Pal,"Javed-Mohsin, Arijit Singh, Shreya Ghoshal, Varun Mitra, Rhea Chakraborty","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, connecting, heartwarming, intimate, soulful, bittersweet","sleep, soft, lofi, study, wind, sleeping"
INUM72200267,97069579.0,,"Avvy Sra, Karan Aujla, Jaani",,,,,
INH109437690,13216294.0,Ek Ladki Ko Dekha,"Kumar Sanu, R. D. Burman","bollywood, south asian classical, pakistani fusion","bollywood, south asian classical, pakistani fusion","501219, 503287, 507755","dreamy, heartwarming, affectionate, melancholic, nostalgic, sentimental","soft, morning, sleep, coffee, wind"
INM431101195,20230578.0,,"Yo Yo Honey Singh, Deep Money",,,,,
INS182501655,146459804.0,,Yo Yo Honey Singh,,,,,
INA090711003,13210367.0,,"S. P. Balasubrahmanyam, K. S. Chithra, Prabhas, Trisha, Charmi",,,,,
IN-V11-93-00497,,,,,,,,
INS181502125,16531979.0,Soch Na Sake,"Amaal Mallik, Arijit Singh, Tulsi Kumar, Akshay Kumar, Nimrat Kaur, Lena, Purab Kohli","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","soulful, contemplative, intimate","focus, exercise"
INS182302920,112554593.0,,"Raghav Chaitanya, Anantha Sreeram, Pritam",,,,,
INS181101313,13222504.0,,"Mohammed Irfan, Arijit Singh, Saim Bhat",,,,,
INA442400404,141304709.0,,"Prem's, Kailash Kher, Arjun Janya",,,,,
INS181006884,18573443.0,Pee Loon,"Mohit Chauhan, Pritam, Irshad Kamil","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","chill, happy, nostalgic, soothing, soulful","soft, sleep, lofi, study, wind"
INS181303033,16852486.0,Chahun Main Ya Naa,"Palak Muchhal, Arijit Singh","bollywood, pakistani fusion, south asian classical, new romantic, indian fusion","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","emotional, affectionate, longing, uplifting, yearning",sleep
